1;JANDARK 5 MG 56 FILM KAPLI TABLET;L04AA29;tofacitinib;ILKO ILAÇ SAN. VE TIC. A.S.;Normal
2242;DUPATIN %0,2 STERIL OFTALMIK COZELTI (2,5 ML);S01GX09;olopatadine;DEVA HOLDING A.S.;Normal
2243;DUPATIN % 0.1 STERIL OFTALMIK ÇÖZELTI(1SISE) 5ml;S01GX09;olopatadine;DEVA HOLDING A.S.;Normal
2244;DUPCIN 350 MG ENJEKSIYONLUK COZELTI ICIN TOZ ICEREN FLAKON (1 FLAKON);J01XX09;daptomycin;DEVA HOLDING A.S.;Normal
2245;DUPCIN 500 MG ENJEKSIYONLUK COZELTI ICIN TOZ ICEREN FLAKON (1 FLAKON);J01XX09;daptomycin;DEVA HOLDING A.S.;Normal
2246;DUPHALAC SURUP 670 MG/ML 300 ML;A06AD11;lactulose;ABBOTT LABORATUARLARI ITHALAT IHRACAT VE TICARET LIMITED SIRKETI;Normal
2247;DUPHASTON 10 MG 20 TABLET;G03DB01;dydrogesterone;ABBOTT LABORATUARLARI ITHALAT IHRACAT VE TICARET LIMITED SIRKETI;Normal
2248;DUROGESIC 100 MCG/SAAT 5 TRANSDERMAL FLASTER;N02AB03;fentanyl;JOHNSON AND JOHNSON SIHHI MAL. SAN. VE TIC. LTD. STI.;Kirmizi
2249;DUROGESIC 12 MCG/SAAT 5 TRANSDERMAL FLASTER;N02AB03;fentanyl;JOHNSON AND JOHNSON SIHHI MAL. SAN. VE TIC. LTD. STI.;Kirmizi
2250;DUROGESIC 25 MCG/SAAT 5 TRANSDERMAL FLASTER;N02AB03;fentanyl;JOHNSON AND JOHNSON SIHHI MAL. SAN. VE TIC. LTD. STI.;Kirmizi
2251;DUROGESIC 50 MCG 5 TTS FLASTER;N02AB03;fentanyl;JOHNSON AND JOHNSON SIHHI MAL. SAN. VE TIC. LTD. STI.;Kirmizi
2252;DUROGESIC 75 MCG/SAAT 5 TRANSDERMAL FLASTER;N02AB03;fentanyl;JOHNSON AND JOHNSON SIHHI MAL. SAN. VE TIC. LTD. STI.;Kirmizi
2253;DURUMEX %3 MERHEM (20 G);D06AA04;tetracycline;ARGIS ILAÇ SANAYI VE TICARET ANONIM SIRKETI;Normal
2254;DURUMEX %3 MERHEM (50 G);D06AA04;tetracycline;ARGIS ILAÇ SANAYI VE TICARET ANONIM SIRKETI;Normal
2255;DUSPATALIN 100 MG 50 DRAJE;A03AA04;mebeverine;ABBOTT LABORATUARLARI ITHALAT IHRACAT VE TICARET LIMITED SIRKETI;Normal
2256;DUSPATALIN RETARD 200 MG 30 KAPSUL;A03AA04;mebeverine;ABBOTT LABORATUARLARI ITHALAT IHRACAT VE TICARET LIMITED SIRKETI;Normal
2257;DUSUK PROTEINLI DALIA LIKIT SUT(200 MLX24 ADET);V06DF;Milk substitutes;MAMMA BESIN ÜRÜNLERI ÜRETIM PAZARLAMA ANONIM SIRKETI;Normal
2258;DUTAPROS 0,5 MG 30 YUMUSAK KAPSUL;G04CB02;dutasteride;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
2259;DUXALTA 30 MG 28 KAPSUL;N06AX21;duloxetine;ALI RAIF ILAÇ SANAYI A.S.;Normal
2260;DUXALTA 60 MG 28 KAPSUL;N06AX21;duloxetine;ALI RAIF ILAÇ SANAYI A.S.;Normal
2261;DUXET 30 MG GASTRO-REZISTAN SERT KAPSUL (28 KAPSUL);N06AX21;duloxetine;NOBEL ILAÇ PAZARLAMA VE SANAYII LTD. STI.;Normal
2262;DUXET 60 MG GASTRO-REZISTAN SERT KAPSUL (28 KAPSUL);N06AX21;duloxetine;NOBEL ILAÇ PAZARLAMA VE SANAYII LTD. STI.;Normal
2263;D-VITANOL 150000 IU / 10ML ORAL DAMLA COZELTI (1 ADET);A11CC05;colecalciferol;ORTHOGEN ILAÇ SAGLIK HIZMETLERI SAN.VE TIC.LTD.STI.;Normal
2264;DYLOXIA 30 MG 28 KAPSUL;N06AX21;duloxetine;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
2265;DYLOXIA 60 MG 28 KAPSUL;N06AX21;duloxetine;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
2266;DYMISTA 137 MCG + 50 MCG BURUN SPREYI, SUSPANSIYON (23 G);R01AD58;fluticasone, combinations;MEDA PHARMA ILAÇ SANAYI VE TICARET LTD. STI.;Normal
2267;DYNABAC 10 ENTERIK KAPLI TABLET;J01FA13;dirithromycin;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
2268;DYSPORT 500 U ENJEKSIYONLUK COZELTI ICIN TOZ ICEREN FLAKON;M03AX01;botulinum toxin;GEN ILAÇ VE SAGLIK ÜRÜNLERI SAN.VE TIC. A.S.;Normal
2269;E.S. ENEMA TIBBI LAKSATIF 135 ML LAVMAN;A06AG01;sodium phosphate;HAVER FARMA ILAÇ ANONIM SIRKETI;Normal
2270;E.S. ENEMA TIBBI LAKSATIF 210 ML LAVMAN;A06AG01;sodium phosphate;HAVER FARMA ILAÇ ANONIM SIRKETI;Normal
2271;E.S. ENEMA TIBBI LAKSATIF 67,5 ML LAVMAN;A06AG01;sodium phosphate;HAVER FARMA ILAÇ ANONIM SIRKETI;Normal
2272;E.S. MESOSEL 4 G/60 G REKTAL SUSPANSIYON (7 ADET);A07EC02;mesalazine;HAVER FARMA ILAÇ ANONIM SIRKETI;Normal
2273;E.Z.CAT BARYUM SULFAT SUSPANSIYON 1 X 225 ML;V08BA01;barium sulfate with suspending agents;OPAKIM TIBBI ÜRÜNLER SANAYI VE TICARET A.S.;Normal
2274;EASYMAX MARKA KAN SEKERI OLCUM SERIDI;V07AY;Other non-therapeutic auxiliary products;SEPA TIBBI CIHAZLAR VE KIMYEVI MADD. TIC.LTD.STI.;Normal
2275;EASYMAX MINI KAN SEKERI OLCUM CIHAZI;V07AY;Other non-therapeutic auxiliary products;SEPA TIBBI CIHAZLAR VE KIMYEVI MADD. TIC.LTD.STI.;Normal
2276;EB SENSOR KAN SEKERI OLCME CIHAZI;V07AY;Other non-therapeutic auxiliary products;"MT SAGLIK URUNLERI A.S. ";Normal
2277;EB SENSOR KAN SEKERI TEST STRIPI;V07AY;Other non-therapeutic auxiliary products;"MT SAGLIK URUNLERI A.S. ";Normal
2278;EBAFIT 10 MG 20 FILM KAPLI TABLET;R06AX22;ebastine;NEUTEC ILAÇ SAN. TIC. A.S.;Normal
2279;EBAFIT 20 MG 20 FILM KAPLI TABLET;R06AX22;ebastine;NEUTEC ILAÇ SAN. TIC. A.S.;Normal
2280;EBETAXEL 300 MG/50 ML IV INFUZYON ICIN KONSANTRE COZELTI ICEREN 1 FLAKON;L01CD01;paclitaxel;SANDOZ ILAÇ SANAYI VE TICARET A.S.;Normal
2281;EBETAXEL EBEWE 100MG/16,6ML IV INF. ICIN KON.COZ.ICEREN FLAKON;L01CD01;paclitaxel;SANDOZ ILAÇ SANAYI VE TICARET A.S.;Normal
2282;EBETAXEL EBEWE 150MG/25 ML IV INF. ICIN KON.COZ.ICEREN FLAKON;L01CD01;paclitaxel;SANDOZ ILAÇ SANAYI VE TICARET A.S.;Normal
2283;EBETAXEL EBEWE 30MG/5ML IV INFUZYON ICIN KONS. COZELTI ICEREN FLAKON;L01CD01;paclitaxel;SANDOZ ILAÇ SANAYI VE TICARET A.S.;Normal
2284;EBFINE INSULIN KALEM UCU (S) 30G (8MM);V07AY;Other non-therapeutic auxiliary products;MT SAGLIK URUNLERI;Normal
2285;EBFINE INSULIN KALEM UCU (S) 31G (5MM);V07AY;Other non-therapeutic auxiliary products;MT SAGLIK URUNLERI;Normal
2286;EBFINE INSULIN KALEM UCU (S) 31G (8MM);V07AY;Other non-therapeutic auxiliary products;MT SAGLIK URUNLERI;Normal
2287;EBFINE INSULIN KALEM UCU (S) 32G (4MM);V07AY;Other non-therapeutic auxiliary products;MT SAGLIK URUNLERI;Normal
2288;EBFINE INSULIN KALEM UCU (S)31G (6MM);V07AY;Other non-therapeutic auxiliary products;MT SAGLIK URUNLERI;Normal
2289;EBICOMB 10 MG / 10 MG 28 EFERVESAN TABLET;N06DA52;donepezil and memantine;CELTIS ILAÇ SAN. VE TIC. A.S.;Normal
2290;EBICOMB 10 MG / 20 MG 100 EFERVESAN TABLET;N06DA52;donepezil and memantine;CELTIS ILAÇ SAN. VE TIC. A.S.;Normal
2291;EBICOMB 10 MG / 20 MG 28 EFERVESAN TABLET;N06DA52;donepezil and memantine;CELTIS ILAÇ SAN. VE TIC. A.S.;Normal
2292;EBICOMB 10/10 MG 28 EFERVESAN TABLET;N06DA52;donepezil and memantine;VITALIS ILAÇ SAN. TIC. A.S.;Normal
2293;EBICOMB 10/20 MG 100 EFERVESAN TABLET;N06DA52;donepezil and memantine;VITALIS ILAÇ SAN. TIC. A.S.;Normal
2294;EBICOMB 10/20 MG 28 EFERVESAN TABLET;N06DA52;donepezil and memantine;VITALIS ILAÇ SAN. TIC. A.S.;Normal
2295;EBICOMB 5 MG / 10 MG 28 EFERVESAN TABLET;N06DA52;donepezil and memantine;CELTIS ILAÇ SAN. VE TIC. A.S.;Normal
2296;EBICOMB 5/10 MG 28 EFERVESAN TABLET;N06DA52;donepezil and memantine;VITALIS ILAÇ SAN. TIC. A.S.;Normal
2297;EBICOMB 5/5 MG 10 EFERVESAN TABLET;N06DA52;donepezil and memantine;VITALIS ILAÇ SAN. TIC. A.S.;Normal
2298;EBIXA 10 MG 100 TABLET;N06DX01;memantine;LUNDBECK ILAÇ TIC. LTD. STI.;Normal
2299;EBIXA 10 MG 50 FILM TABLET;N06DX01;memantine;LUNDBECK ILAÇ TIC. LTD. STI.;Normal
2300;EBIXA 20 MG 28 FILM TABLET;N06DX01;memantine;LUNDBECK ILAÇ TIC. LTD. STI.;Normal
2301;EBIXA 20 MG 84 FILM TABLET;N06DX01;memantine;LUNDBECK ILAÇ TIC. LTD. STI.;Normal
2302;ECOPIRIN 100 MG 30 ENTERIK KAPLI TABLET;B01AC06;acetylsalicylic acid;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
2303;ECOPIRIN 150 MG 30 ENTERIK KAPLI TABLET;B01AC06;acetylsalicylic acid;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
2304;ECOPIRIN 300 MG 30 ENTERIK KAPLI TABLET;B01AC06;acetylsalicylic acid;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
2305;ECOPIRIN PRO 81  MG 30 ENTERIK KAPLI TABLET;B01AC06;acetylsalicylic acid;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
2306;ECTOPIX %0,1 KREM (30 GR);D07AC14;methylprednisolone aceponate;TRIPHARMA ILAÇ SANAYI VE TICARET A.S;Normal
2307;ECTOPIX %0,1 MERHEM (30 G );D07AC14;methylprednisolone aceponate;TRIPHARMA ILAÇ SANAYI VE TICARET A.S;Normal
2308;ECTOPIX M %0,1 LOSYON;D07AC14;methylprednisolone aceponate;TRIPHARMA ILAÇ SANAYI VE TICARET A.S;Normal
2309;ECTOPIX S %0,1 COZELTI (20ML);D07AC14;methylprednisolone aceponate;TRIPHARMA ILAÇ SANAYI VE TICARET A.S;Normal
2310;EDOLAR 300 MG FILM KAPLI TABLET;M01AB08;etodolac;LILYUM ILAÇ VE KIMYA SANAYI TICARET LIMITED SIRKETI;Normal
2311;EDOLAR 500 MG 14 FILM TABLET;M01AB08;etodolac;LILYUM ILAÇ VE KIMYA SANAYI TICARET LIMITED SIRKETI;Normal
2312;EDOLAR 600 MG 14 FILM TABLET;M01AB08;etodolac;LILYUM ILAÇ VE KIMYA SANAYI TICARET LIMITED SIRKETI;Normal
2313;EDOLAR FORT 400 MG FILM KAPLI TABLET(14 TABLET);M01AB08;etodolac;LILYUM ILAÇ VE KIMYA SANAYI TICARET LIMITED SIRKETI;Normal
2314;EDRONAX 4 MG 60 TABLET;N06AX18;reboxetine;PFIZER PFE ILAÇLARI ANONIM SIRKETI;Normal
2315;EDURANT 25 MG 30 FILM KAPLI TABLET;J05AG05;rilpivirine;JOHNSON AND JOHNSON SIHHI MAL. SAN. VE TIC. LTD. STI.;Normal
2316;EFAMAT 1 GR/2 ML IM ENJ. COZELTI ICEREN AMPUL;M01AG;Fenamates;DEVA HOLDING A.S.;Normal
2317;EFAMAT JEL %5 40 G;M02AA06;etofenamate;DEVA HOLDING A.S.;Normal
2318;EFEDERM LOSYON 100 GR;D07AC14;methylprednisolone aceponate;ORION ILAÇ SANAYI VE TICARET ANONIM SIRKETI;Normal
2319;EFEDERM LOSYON 50 GR;D07AC14;methylprednisolone aceponate;ORION ILAÇ SANAYI VE TICARET ANONIM SIRKETI;Normal
2320;EFEDRIN HIDROKLORUR 0,05 G BIOSEL 1 MLX100 AMPUL;C01CA26;ephedrine;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
2321;EFEMOLINE 5 ML STERIL GOZ DAMLASI;S01BB03;fluorometholone and mydriatics;THEA PHARMA ILAÇ TIC.LTD.STI.;Normal
2322;EFERCAL 1000 MG 40 EFERVESAN TABLET;A12AA04;calcium carbonate;VITALIS ILAÇ SAN. TIC. A.S.;Normal
2323;EFERMAG 365 MG 30 EFERVESAN TABLET;A12CC10;magnesium oxide;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
2324;EFEXOR XR 150 MG 28 KAPSUL;N06AX16;venlafaxine;VIATRIS ILAÇLARI LIMITED SIRKETI;Normal
2325;EFEXOR XR 37,5 MG 14 MIKROPELLET KAPSUL;N06AX16;venlafaxine;VIATRIS ILAÇLARI LIMITED SIRKETI;Normal
2326;EFEXOR XR 75 MG 28 KAPSUL;N06AX16;venlafaxine;VIATRIS ILAÇLARI LIMITED SIRKETI;Normal
2327;EFFIENT 10 MG 28 FILM KAPLI TABLET;B01AC22;prasugrel;DAIICHI SANKYO ILAÇ TICARET LIMITED SIRKETI;Normal
2328;EFIKAS MR 30 MG 30 TABLET;A10BB09;gliclazide;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
2329;EFIKAS MR 30 MG 60 TABLET;A10BB09;gliclazide;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
2330;EFIKAS MR 30 MG 90 TABLET;A10BB09;gliclazide;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
2331;EFIKAS MR 60 MG DEGISTIRILMIS SALIMLI BOLUNEBILIR 30 TABLET;A10BB09;gliclazide;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
2332;EFIKAS MR 60 MG DEGISTIRILMIS SALIMLI BOLUNEBILIR 60 TABLET;A10BB09;gliclazide;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
2333;EFUDIX %5 KREM 20 G;L01BC02;fluorouracil;MEDA PHARMA ILAÇ SANAYI VE TICARET LTD. STI.;Normal
2334;EKIPERTA 1G IM/IV ENJEKSIYON ICIN LIYOFILIZE TOZ;J01DH03;ertapenem;TÜM - EKIP ILAÇ A.S;Normal
2335;EKIPIM 0,5 GR IM/IV ENJEKTABL TOZ ICEREN 1 FLAKON;J01DE01;cefepime;TÜM - EKIP ILAÇ A.S;Normal
2336;EKIPIM 1 GR IM/IV ENJEKTABL TOZ ICEREN 1 FLAKON;J01DE01;cefepime;TÜM - EKIP ILAÇ A.S;Normal
2337;EKLIPS 100 MG 28 FILM TABLET;C09CA01;losartan;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
2338;EKLIPS 50 MG 28 FILM TABLET;C09CA01;losartan;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
2339;EKLIPS FORT 100/25 28 FILM TABLET;C09DA01;losartan and diuretics;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
2340;EKLIPS PLUS 50/12,5 28 FILM TABLET;C09DA01;losartan and diuretics;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
2341;EKSOFED 5 ML 30 MG 150 ML SURUP;R01BA02;pseudoephedrine;HÜSNÜ ARSAN ILAÇLARI A.S.;Normal
2343;ELAPRASE 2 MG/ ML INFUZYONLUK COZELTI HAZIRLAMAK ICIN KONSANTRE (1 FLAKON);A16AB09;idursulfase;TAKEDA ILAÇ SAGLIK SANAYI TICARET LTD.STI.;Normal
2344;ELEKTRA %1,25 JEL 60 GR;M02AA27;dexketoprofen;SANTA FARMA ILAÇ SAN. A.S.;Normal
2345;ELEKTRA 25 MG FILM KAPLI TABLET (20 FILM KAPLI TABLET);M01AE17;dexketoprofen;SANTA FARMA ILAÇ SAN. A.S.;Normal
2346;ELEKTRA FORT 50 MG FILM KAPLI TABLET (30 FILM KAPLI TABLET);M01AE17;dexketoprofen;SANTA FARMA ILAÇ SAN. A.S.;Normal
2347;ELELYSO 200 U INF. COZELTI ICIN LIYO. TOZ 1 FLAKON;A16AB11;taliglucerase alfa;PFIZER PFE ILAÇLARI ANONIM SIRKETI;Normal
2348;ELEPSI 100 MG FILM KAPLI TABLET (56 FILM KAPLI TABLET);N03AX18;lacosamide;SANTA FARMA ILAÇ SAN. A.S.;Normal
2349;ELEPSI 150 MG FILM KAPLI TABLET (56 FILM KAPLI TABLET);N03AX18;lacosamide;SANTA FARMA ILAÇ SAN. A.S.;Normal
2350;ELEPSI 200 MG FILM KAPLI TABLET (56 FILM KAPLI TABLET);N03AX18;lacosamide;SANTA FARMA ILAÇ SAN. A.S.;Normal
2351;ELEPSI 50 MG FILM KAPLI TABLET (14 FILM KAPLI TABLET);N03AX18;lacosamide;SANTA FARMA ILAÇ SAN. A.S.;Normal
2352;ELEPSI 50 MG+100 MG TEDAVIYE BASLAMA PAKETI(42 ADET);N03AX18;lacosamide;SANTA FARMA ILAÇ SAN. A.S.;Normal
2355;ELFENOR %5 JEL;M02AA15;diclofenac;VEFA ILAÇ SANAYI VE TICARET ANONIM SIRKETI;Normal
2356;ELIDEL KREM 30 GR;D11AH02;pimecrolimus;MEDA PHARMA ILAÇ SANAYI VE TICARET LTD. STI.;Normal
2357;ELIGARD 22,5 MG ENJ. COZ. ICIN S.C. TOZ ICEREN SIRINGA VE COZ. ICEREN SIRINGA;L02AE02;leuprorelin;RECORDATI ILAÇ SANAYI VE TICARET ANONIM SIRKETI;Normal
2358;ELIGARD 22,5 MG ENJ. COZ. ICIN S.C. TOZ ICEREN SIRINGA VE COZ. ICEREN SIRINGA;L02AE02;leuprorelin;ASTELLAS PHARMA ILAÇ TICARET VE SANAYI A.S;Normal
2359;ELIGARD 45 MG ENJ. COZ. ICIN S.C. TOZ ICEREN SIRINGA VE COZ. ICEREN SIRINGA;L02AE02;leuprorelin;RECORDATI ILAÇ SANAYI VE TICARET ANONIM SIRKETI;Normal
2360;ELIQUIS 2,5 MG FILM KAPLI TABLET (56 TABLET);B01AF02;apixaban;PFIZER PFE ILAÇLARI ANONIM SIRKETI;Normal
2361;ELIQUIS 5 MG FILM KAPLI TABLET (56 TABLET);B01AF02;apixaban;PFIZER PFE ILAÇLARI ANONIM SIRKETI;Normal
2362;ELLA 30 MG FILM KAPLI TABLET (1 TABLET);G03AD02;ulipristal;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
2363;ELLEACNELLE 21 DRAJE;G03HB01;cyproterone and estrogen;DEM ILAÇ SAN. VE TIC. A.S.;Normal
2364;ELMIRON 100 MG 100 KAPSUL;G04BX15;pentosan polysulfate sodium;AYMED ILAÇ.SAN.TIC.LTD.STI.;Normal
2365;ELOCON % 0,1 KREM (30 GRAM);D07AC13;mometasone;ORGANON TURKEY ILAÇLARI LIMITED SIRKETI;Normal
2366;ELOCON % 0,1 LOSYON (30 ML);D07AC13;mometasone;ORGANON TURKEY ILAÇLARI LIMITED SIRKETI;Normal
2367;ELOCON % 0,1 MERHEM (30 GRAM);D07AC13;mometasone;ORGANON TURKEY ILAÇLARI LIMITED SIRKETI;Normal
2368;ELOCON %0,1 30 GR KREM;D07AC13;mometasone;MERCK SHARP DOHME ILAÇLARI LTD. STI.;Normal
2369;ELOCON %0,1 30 GR POMAD;D07AC13;mometasone;MERCK SHARP DOHME ILAÇLARI LTD. STI.;Normal
2370;"ELOCTA 1000 IU IV ENJEKSIYONLUK COZELTI HAZIRLAMAK ICIN TOZ VE COZUCU ";B02BD02;coagulation factor viii;PROCEUTICA ILAÇ PAZARLAMA VE DANISMANLIK A.S.;Turuncu
2371;"ELOCTA 1500 IU IV ENJEKSIYONLUK COZELTI HAZIRLAMAK ICIN TOZ VE COZUCU ";B02BD02;coagulation factor viii;PROCEUTICA ILAÇ PAZARLAMA VE DANISMANLIK A.S.;Turuncu
2372;"ELOCTA 2000 IU IV ENJEKSIYONLUK COZELTI HAZIRLAMAK ICIN TOZ VE COZUCU ";B02BD02;coagulation factor viii;PROCEUTICA ILAÇ PAZARLAMA VE DANISMANLIK A.S.;Turuncu
2373;"ELOCTA 250 IU IV ENJEKSIYONLUK COZELTI HAZIRLAMAK ICIN TOZ VE COZUCU ";B02BD02;coagulation factor viii;PROCEUTICA ILAÇ PAZARLAMA VE DANISMANLIK A.S.;Turuncu
2374;"ELOCTA 3000 IU IV ENJEKSIYONLUK COZELTI HAZIRLAMAK ICIN TOZ VE COZUCU ";B02BD02;coagulation factor viii;PROCEUTICA ILAÇ PAZARLAMA VE DANISMANLIK A.S.;Turuncu
2375;"ELOCTA 500 IU IV ENJEKSIYONLUK COZELTI HAZIRLAMAK ICIN TOZ VE COZUCU ";B02BD02;coagulation factor viii;PROCEUTICA ILAÇ PAZARLAMA VE DANISMANLIK A.S.;Turuncu
2376;ELUXAT 84 MG SERT KAPSUL (56 KAPSUL);A16AX10;eliglustat;TOBIO NOVELFARMA ILAÇ SANAYI VE TICARET LIMITED SIRKETI;Normal
2377;EMADINE % 0,05 5 ML OFTALMIK SOLUSYON;S01GX06;emedastine;KEYMEN ILAÇ SANAYI VE TICARET A.S.;Normal
2378;EMADINE % 0,05 5 ML OFTALMIK SOLUSYON;S01GX06;emedastine;NOVARTIS SAGLIK GIDA VE TARIM ÜRÜNLERI SANAYI VE TICARET ANONIM SIRKETI;Normal
2379;EMEDUR 100 MG+20 MG 5 SUPPOZITUAR;R06AA10;trimethobenzamide;OPELLA HEALTHCARE TÜKETICI SAGLIGI ANONIM SIRKETI;Normal
2380;EMEDUR 100+20 MG 5 SUPPOZITUAR;R06AA10;trimethobenzamide;SANOFI SAGLIK ÜRÜNLERI LTD. STI.;Normal
2381;EMEDUR 200 MG / 2 ML IM ENJEKSIYONLUK COZELTI (6 ADET);R06AA10;trimethobenzamide;OPELLA HEALTHCARE TÜKETICI SAGLIGI ANONIM SIRKETI;Normal
2382;EMEDUR 200 MG 20 FILM KAPLI TABLET;R06AA10;trimethobenzamide;SANOFI SAGLIK ÜRÜNLERI LTD. STI.;Normal
2383;EMEDUR 200 MG FILM KAPLI TABLET (20 TABLET);R06AA10;trimethobenzamide;OPELLA HEALTHCARE TÜKETICI SAGLIGI ANONIM SIRKETI;Normal
2384;EMEDUR IM 200MG/2ML 6 ENJEKTABL AMPUL;R06AA10;trimethobenzamide;SANOFI SAGLIK ÜRÜNLERI LTD. STI.;Normal
2385;EMEKSAT % 0,05 GOZ DAMLASI, COZELTISI;S01GX06;emedastine;WORLD MEDICINE ILAÇ SAN. VE TIC. A.S.;Normal
2386;EMEND 3 KAPSUL;A04AD12;aprepitant;MERCK SHARP DOHME ILAÇLARI LTD. STI.;Normal
2387;EMESET 4 MG/2ML IM/IV ENJEKSIYONLUK COZELTI ICEREN 1 AMPUL;A04AA01;ondansetron;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
2388;EMESET 8 MG/4ML IM/IV ENJEKSIYONLUK COZELTI ICEREN 1 AMPUL;A04AA01;ondansetron;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
2389;EMETRIL 1 MG 10 FILM TABLET;A04AA02;granisetron;GENSENTA ILAÇ SANAYI VE TICARET A.S.;Normal
2390;EMETRIL 2 MG 5 FILM TABLET;A04AA02;granisetron;GENSENTA ILAÇ SANAYI VE TICARET A.S.;Normal
2391;EMETRIL 3 MG/3 ML IV INFUZYON COZELTISI ICEREN 1 AMPUL;A04AA02;granisetron;GENSENTA ILAÇ SANAYI VE TICARET A.S.;Normal
2392;EMFER 100MG/5ML ENJEKSIYON VE INFUZYON ICIN KONSANTRE COZELTI ICEREN AMPUL;B03AC;Iron, parenteral preparations;BIEM ILAÇ SAN. VE TIC. A.S.;Normal
2393;EMGALITY 120 MG/ML ENJEKSIYONLUK COZELTI ICEREN KULLANIMA HAZIR KALEM (1 KALEM);N02CD02;galcanezumab;LILLY ILAÇ TICARET LIMITED SIRKETI;Normal
2394;EMLA %5 KREM (5 GR 5 ADET);N01BB20;combinations;VLD DANISMANLIK TIBBI ÜRÜNLER VE TANITIM HIZMETLERI A. S.;Normal
2395;EMOCLOT 1000 IU/10 ML IV INFUZYONLUK COZELTI HAZIRLAMAK ICIN TOZ VE COZUCU;B02BD02;coagulation factor viii;KEDRION BETAPHAR BIYOFARMASÖTIK ILAÇ SAN. VE TIC. A.S.;Turuncu
2396;EMOCLOT 500 IU/10 ML IV INFUZYONLUK COZELTI HAZIRLAMAK ICIN TOZ VE COZUCU;B02BD02;coagulation factor viii;KEDRION BETAPHAR BIYOFARMASÖTIK ILAÇ SAN. VE TIC. A.S.;Turuncu
2397;EMOJECT 10 MG/2 MLx5 ML IM/IV AMPUL;A03FA01;metoclopramide;TÜM - EKIP ILAÇ A.S;Normal
2398;EMSELEX 15 MG 28 UZATILMIS SALIM TABLET;G04BD10;darifenacin;VLD DANISMANLIK TIBBI ÜRÜNLER VE TANITIM HIZMETLERI A. S.;Normal
2399;EMSELEX 7,5 MG 28 UZATILMIS SALIM TABLET;G04BD10;darifenacin;VLD DANISMANLIK TIBBI ÜRÜNLER VE TANITIM HIZMETLERI A. S.;Normal
2400;EMULID PLUS JEL  50 G;M02AA26;nimesulide;VEM ILAÇ SAN. VE TIC. ANONIM SIRKETI;Normal
2401;ENAPRIL 10 MG 20 TABLET;C09AA02;enalapril;SANDOZ ILAÇ SANAYI VE TICARET A.S.;Normal
2402;ENAPRIL 20 MG 20 TABLET;C09AA02;enalapril;SANDOZ ILAÇ SANAYI VE TICARET A.S.;Normal
2403;ENAPRIL 5 MG 20 TABLET;C09AA02;enalapril;SANDOZ ILAÇ SANAYI VE TICARET A.S.;Normal
2404;ENAXIL 0,2 MG/ ML ENJEKSIYONLUK COZELTI (5 AMPUL);C01CA02;isoprenaline;VEM ILAÇ SAN. VE TIC. ANONIM SIRKETI;Normal
2405;ENAXIL 1 MG/ 5 ML ENJEKSIYONLUK COZELTI (1 AMPUL);C01CA02;isoprenaline;VEM ILAÇ SAN. VE TIC. ANONIM SIRKETI;Normal
2406;ENBREL 25 MG ENJEKSIYONLUK SOLUSYON ICIN TOZ (4 FLAKON);L04AB01;etanercept;PFIZER PFE ILAÇLARI ANONIM SIRKETI;Normal
2407;ENBREL 25 MG SC ENJEKSIYONLUK COZELTI ICEREN KULLANIMA HAZIR 4 ENJEKTOR;L04AB01;etanercept;PFIZER PFE ILAÇLARI ANONIM SIRKETI;Normal
2408;ENBREL PEN 50 MG ENJ. COZ.ICIN KULLANIMA HAZIR 2 KALEM;L04AB01;etanercept;PFIZER PFE ILAÇLARI ANONIM SIRKETI;Normal
2409;ENCEF 125 MG/5ML 100 ML ORAL SUSPANSIYON ICIN KURU TOZ;J01DD15;cefdinir;DEVA HOLDING A.S.;Normal
2410;ENCEF 250 MG/5ML 100 ML ORAL SUSPANSIYON ICIN KURU TOZ;J01DD15;cefdinir;DEVA HOLDING A.S.;Normal
2411;ENCEF 300 MG 10 KAPSUL;J01DD15;cefdinir;DEVA HOLDING A.S.;Normal
